in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+02,-8.598E+01,-3.796E+01,1.000E+00
2.00E+00,1.023E+02,-8.382E+01,1.155E+02,1.000E+00
3.00E+00,1.047E+02,-8.346E+01,-6.992E+01,1.000E+00
4.00E+00,1.072E+02,-8.375E+01,1.217E+02,1.000E+00
5.00E+00,1.096E+02,-8.258E+01,1.108E+02,1.000E+00
6.00E+00,1.122E+02,-8.303E+01,-1.038E+02,1.000E+00
7.00E+00,1.148E+02,-8.323E+01,-7.772E+01,1.000E+00
8.00E+00,1.175E+02,-8.922E+01,-4.006E+01,1.000E+00
9.00E+00,1.202E+02,-9.657E+01,1.080E+02,1.000E+00
1.00E+01,1.230E+02,-8.723E+01,-4.239E+00,1.000E+00
1.10E+01,1.259E+02,-9.733E+01,4.704E+01,1.000E+00
1.20E+01,1.288E+02,-9.223E+01,-1.208E+02,1.000E+00
1.30E+01,1.318E+02,-8.150E+01,9.940E+01,1.000E+00
1.40E+01,1.349E+02,-8.192E+01,6.009E+01,1.000E+00
1.50E+01,1.380E+02,-8.073E+01,7.793E+01,1.000E+00
1.60E+01,1.413E+02,-8.560E+01,1.061E+02,1.000E+00
1.70E+01,1.445E+02,-8.912E+01,-5.355E+01,1.000E+00
1.80E+01,1.479E+02,-8.976E+01,-3.401E+01,1.000E+00
1.90E+01,1.514E+02,-8.993E+01,-1.243E+02,1.000E+00
2.00E+01,1.549E+02,-7.770E+01,-7.460E+01,1.000E+00
2.10E+01,1.585E+02,-7.950E+01,-2.718E+01,1.000E+00
2.20E+01,1.622E+02,-8.408E+01,-9.789E+01,1.000E+00
2.30E+01,1.660E+02,-8.392E+01,-2.814E+01,1.000E+00
2.40E+01,1.698E+02,-8.831E+01,8.448E+01,1.000E+00
2.50E+01,1.738E+02,-8.127E+01,8.175E+01,1.000E+00
2.60E+01,1.778E+02,-7.994E+01,1.371E+02,1.000E+00
2.70E+01,1.820E+02,-8.059E+01,-1.384E+02,1.000E+00
2.80E+01,1.862E+02,-7.943E+01,8.728E+01,1.000E+00
2.90E+01,1.905E+02,-8.212E+01,-2.066E+01,1.000E+00
3.00E+01,1.950E+02,-7.811E+01,-4.071E+01,1.000E+00
3.10E+01,1.995E+02,-7.468E+01,-5.653E+01,1.000E+00
3.20E+01,2.042E+02,-8.592E+01,5.281E+01,1.000E+00
3.30E+01,2.089E+02,-8.214E+01,9.148E+01,1.000E+00
3.40E+01,2.138E+02,-8.908E+01,-4.305E+01,1.000E+00
3.50E+01,2.188E+02,-8.094E+01,-2.047E+01,1.000E+00
3.60E+01,2.239E+02,-9.274E+01,-1.090E+02,1.000E+00
3.70E+01,2.291E+02,-7.839E+01,-3.081E+01,1.000E+00
3.80E+01,2.344E+02,-7.971E+01,-1.485E+02,1.000E+00
3.90E+01,2.399E+02,-8.358E+01,1.561E+02,1.000E+00
4.00E+01,2.455E+02,-8.028E+01,1.406E+02,1.000E+00
4.10E+01,2.512E+02,-8.816E+01,9.825E+01,1.000E+00
