in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+02,-8.340E+01,-1.015E+02,1.000E+00
2.00E+00,1.023E+02,-9.101E+01,-6.450E+01,1.000E+00
3.00E+00,1.047E+02,-9.058E+01,-1.766E+01,1.000E+00
4.00E+00,1.072E+02,-9.720E+01,1.590E+02,1.000E+00
5.00E+00,1.096E+02,-7.949E+01,1.050E+02,1.000E+00
6.00E+00,1.122E+02,-8.359E+01,9.379E+01,1.000E+00
7.00E+00,1.148E+02,-9.027E+01,9.996E+01,1.000E+00
8.00E+00,1.175E+02,-9.205E+01,-1.527E+02,1.000E+00
9.00E+00,1.202E+02,-8.510E+01,-1.479E+02,1.000E+00
1.00E+01,1.230E+02,-1.017E+02,1.518E+01,1.000E+00
1.10E+01,1.259E+02,-8.903E+01,-5.395E+00,1.000E+00
1.20E+01,1.288E+02,-9.346E+01,-1.032E+02,1.000E+00
1.30E+01,1.318E+02,-9.426E+01,-1.273E+02,1.000E+00
1.40E+01,1.349E+02,-8.575E+01,7.867E+01,1.000E+00
1.50E+01,1.380E+02,-7.797E+01,1.467E+02,1.000E+00
1.60E+01,1.413E+02,-8.334E+01,9.201E+01,1.000E+00
1.70E+01,1.445E+02,-8.841E+01,-1.775E+02,1.000E+00
1.80E+01,1.479E+02,-8.383E+01,-4.007E+01,1.000E+00
1.90E+01,1.514E+02,-8.338E+01,-8.014E-01,1.000E+00
2.00E+01,1.549E+02,-8.173E+01,-7.133E+01,1.000E+00
2.10E+01,1.585E+02,-7.692E+01,-4.638E+01,1.000E+00
2.20E+01,1.622E+02,-7.652E+01,-8.385E+01,1.000E+00
2.30E+01,1.660E+02,-8.998E+01,7.341E+01,1.000E+00
2.40E+01,1.698E+02,-8.242E+01,-6.070E+01,1.000E+00
2.50E+01,1.738E+02,-8.102E+01,1.051E+02,1.000E+00
2.60E+01,1.778E+02,-8.385E+01,7.546E+01,1.000E+00
2.70E+01,1.820E+02,-8.292E+01,1.232E+02,1.000E+00
2.80E+01,1.862E+02,-8.285E+01,1.583E+02,1.000E+00
2.90E+01,1.905E+02,-9.028E+01,1.532E+02,1.000E+00
3.00E+01,1.950E+02,-7.495E+01,-4.502E+01,1.000E+00
3.10E+01,1.995E+02,-7.920E+01,-6.756E+01,1.000E+00
3.20E+01,2.042E+02,-8.169E+01,-1.397E+02,1.000E+00
3.30E+01,2.089E+02,-8.390E+01,1.040E+02,1.000E+00
3.40E+01,2.138E+02,-7.898E+01,-1.210E+02,1.000E+00
3.50E+01,2.188E+02,-8.018E+01,1.176E+02,1.000E+00
3.60E+01,2.239E+02,-7.937E+01,6.099E+01,1.000E+00
3.70E+01,2.291E+02,-7.678E+01,-4.381E+01,1.000E+00
3.80E+01,2.344E+02,-7.649E+01,-6.115E+01,1.000E+00
3.90E+01,2.399E+02,-8.482E+01,1.618E+02,1.000E+00
4.00E+01,2.455E+02,-7.808E+01,-2.918E+01,1.000E+00
4.10E+01,2.512E+02,-8.293E+01,-5.104E+01,1.000E+00
4.20E+01,2.570E+02,-9.080E+01,-4.278E+01,1.000E+00
4.30E+01,2.630E+02,-8.297E+01,-4.649E+01,1.000E+00
4.40E+01,2.692E+02,-7.821E+01,3.131E+01,1.000E+00
4.50E+01,2.754E+02,-8.901E+01,7.273E+01,1.000E+00
4.60E+01,2.818E+02,-7.508E+01,9.454E+01,1.000E+00
4.70E+01,2.884E+02,-7.509E+01,-7.135E+01,1.000E+00
4.80E+01,2.951E+02,-8.692E+01,1.763E+01,1.000E+00
4.90E+01,3.020E+02,-8.991E+01,-3.764E+01,1.000E+00
5.00E+01,3.090E+02,-7.975E+01,-1.715E+02,1.000E+00
5.10E+01,3.162E+02,-7.795E+01,-1.507E+02,1.000E+00
5.20E+01,3.236E+02,-7.965E+01,4.820E+00,1.000E+00
5.30E+01,3.311E+02,-7.961E+01,-2.375E+00,1.000E+00
5.40E+01,3.388E+02,-8.796E+01,-1.294E+02,1.000E+00
5.50E+01,3.467E+02,-8.672E+01,-1.743E+01,1.000E+00
5.60E+01,3.548E+02,-7.342E+01,2.033E+01,1.000E+00
5.70E+01,3.631E+02,-7.138E+01,3.939E+01,1.000E+00
5.80E+01,3.715E+02,-8.270E+01,-4.102E+01,1.000E+00
5.90E+01,3.802E+02,-8.625E+01,-6.127E+01,1.000E+00
6.00E+01,3.890E+02,-7.735E+01,-1.382E+02,1.000E+00
6.10E+01,3.981E+02,-7.496E+01,-7.844E+01,1.000E+00
6.20E+01,4.074E+02,-7.507E+01,-3.264E+01,1.000E+00
6.30E+01,4.169E+02,-7.599E+01,7.760E+01,1.000E+00
6.40E+01,4.266E+02,-9.786E+01,-2.838E+01,1.000E+00
6.50E+01,4.365E+02,-8.282E+01,1.513E+01,1.000E+00
6.60E+01,4.467E+02,-7.318E+01,5.143E+01,1.000E+00
6.70E+01,4.571E+02,-7.135E+01,-1.102E+02,1.000E+00
6.80E+01,4.677E+02,-7.454E+01,-2.248E+01,1.000E+00
6.90E+01,4.786E+02,-7.168E+01,-3.000E+00,1.000E+00
7.00E+01,4.898E+02,-7.749E+01,4.123E+00,1.000E+00
7.10E+01,5.012E+02,-7.146E+01,-3.410E+00,1.000E+00
7.20E+01,5.129E+02,-6.928E+01,-6.068E+00,1.000E+00
7.30E+01,5.248E+02,-7.531E+01,-1.156E+01,1.000E+00
7.40E+01,5.370E+02,-6.819E+01,-9.624E+00,1.000E+00
7.50E+01,5.495E+02,-8.019E+01,3.223E+00,1.000E+00
7.60E+01,5.623E+02,-7.496E+01,-7.948E+01,1.000E+00
7.70E+01,5.754E+02,-6.762E+01,-2.271E+01,1.000E+00
7.80E+01,5.888E+02,-7.145E+01,-2.536E+01,1.000E+00
7.90E+01,6.026E+02,-7.032E+01,-7.603E+01,1.000E+00
8.00E+01,6.166E+02,-7.129E+01,-8.126E+00,1.000E+00
8.10E+01,6.310E+02,-7.821E+01,-1.646E+01,1.000E+00
8.20E+01,6.457E+02,-7.581E+01,-1.038E+01,1.000E+00
8.30E+01,6.607E+02,-7.173E+01,-1.788E+01,1.000E+00
8.40E+01,6.761E+02,-6.699E+01,-4.208E+01,1.000E+00
8.50E+01,6.918E+02,-6.494E+01,-3.186E+01,1.000E+00
8.60E+01,7.079E+02,-6.859E+01,-3.425E+01,1.000E+00
8.70E+01,7.244E+02,-6.582E+01,-4.256E+01,1.000E+00
8.80E+01,7.413E+02,-6.748E+01,-3.313E+01,1.000E+00
8.90E+01,7.586E+02,-6.823E+01,-4.414E+01,1.000E+00
9.00E+01,7.762E+02,-6.432E+01,-4.012E+01,1.000E+00
9.10E+01,7.943E+02,-6.671E+01,-3.392E+01,1.000E+00
9.20E+01,8.128E+02,-6.400E+01,-6.524E+01,1.000E+00
9.30E+01,8.318E+02,-6.468E+01,-6.606E+01,1.000E+00
9.40E+01,8.511E+02,-6.236E+01,-7.059E+01,1.000E+00
9.50E+01,8.710E+02,-6.207E+01,-8.381E+01,1.000E+00
9.60E+01,8.913E+02,-6.114E+01,-7.155E+01,1.000E+00
9.70E+01,9.120E+02,-6.142E+01,-8.293E+01,1.000E+00
9.80E+01,9.333E+02,-6.317E+01,-9.668E+01,1.000E+00
9.90E+01,9.550E+02,-6.042E+01,-8.467E+01,1.000E+00
1.00E+02,9.772E+02,-6.192E+01,-9.949E+01,1.000E+00
1.01E+02,1.000E+03,-6.194E+01,-1.020E+02,1.000E+00
