in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+02,-4.346E+01,-9.255E+01,1.000E+00
2.00E+00,1.023E+02,-3.004E+01,-9.406E+01,1.000E+00
3.00E+00,1.047E+02,-2.198E+01,-9.285E+01,1.000E+00
4.00E+00,1.072E+02,-2.183E+01,-9.289E+01,1.000E+00
5.00E+00,1.096E+02,-8.689E+01,-3.955E+01,1.000E+00
6.00E+00,1.122E+02,-7.933E+01,-1.232E+02,1.000E+00
7.00E+00,1.148E+02,-2.117E+01,-9.305E+01,1.000E+00
8.00E+00,1.175E+02,-2.099E+01,-9.313E+01,1.000E+00
9.00E+00,1.202E+02,-2.080E+01,-9.320E+01,1.000E+00
1.00E+01,1.230E+02,-2.063E+01,-9.328E+01,1.000E+00
1.10E+01,1.259E+02,-2.050E+01,-9.337E+01,1.000E+00
1.20E+01,1.288E+02,-2.018E+01,-9.342E+01,1.000E+00
1.30E+01,1.318E+02,-1.999E+01,-9.346E+01,1.000E+00
1.40E+01,1.349E+02,-1.982E+01,-9.360E+01,1.000E+00
1.50E+01,1.380E+02,-1.959E+01,-9.361E+01,1.000E+00
1.60E+01,1.413E+02,-1.934E+01,-9.367E+01,1.000E+00
1.70E+01,1.445E+02,-1.913E+01,-9.371E+01,1.000E+00
1.80E+01,1.479E+02,-1.896E+01,-9.377E+01,1.000E+00
1.90E+01,1.514E+02,-1.874E+01,-9.384E+01,1.000E+00
2.00E+01,1.549E+02,-1.899E+01,-9.390E+01,1.000E+00
2.10E+01,1.585E+02,-1.830E+01,-9.409E+01,1.000E+00
2.20E+01,1.622E+02,-1.810E+01,-9.426E+01,1.000E+00
2.30E+01,1.660E+02,-1.790E+01,-9.436E+01,1.000E+00
2.40E+01,1.698E+02,-1.773E+01,-9.442E+01,1.000E+00
2.50E+01,1.738E+02,-1.778E+01,-9.452E+01,1.000E+00
2.60E+01,1.778E+02,-1.809E+01,-9.473E+01,1.000E+00
2.70E+01,1.820E+02,-1.714E+01,-9.465E+01,1.000E+00
2.80E+01,1.862E+02,-1.699E+01,-9.475E+01,1.000E+00
2.90E+01,1.905E+02,-1.678E+01,-9.483E+01,1.000E+00
3.00E+01,1.950E+02,-2.005E+01,-9.463E+01,1.000E+00
3.10E+01,1.995E+02,-1.616E+01,-9.509E+01,1.000E+00
3.20E+01,2.042E+02,-1.595E+01,-9.522E+01,1.000E+00
3.30E+01,2.089E+02,-1.575E+01,-9.534E+01,1.000E+00
3.40E+01,2.138E+02,-1.553E+01,-9.550E+01,1.000E+00
3.50E+01,2.188E+02,-1.532E+01,-9.562E+01,1.000E+00
