in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,3.579E+01,-7.388E+01,2.000E-02
2.00E+00,1.012E+01,3.571E+01,-7.449E+01,2.000E-02
3.00E+00,1.023E+01,3.566E+01,-7.532E+01,2.000E-02
4.00E+00,1.035E+01,3.554E+01,-7.621E+01,2.000E-02
5.00E+00,1.047E+01,3.547E+01,-7.698E+01,2.000E-02
6.00E+00,1.059E+01,3.538E+01,-7.741E+01,2.000E-02
7.00E+00,1.072E+01,3.533E+01,-7.799E+01,2.000E-02
8.00E+00,1.084E+01,3.527E+01,-7.858E+01,2.000E-02
9.00E+00,1.096E+01,3.510E+01,-7.961E+01,2.000E-02
1.00E+01,1.109E+01,3.503E+01,-8.016E+01,2.000E-02
1.10E+01,1.122E+01,3.498E+01,-8.058E+01,2.000E-02
1.20E+01,1.135E+01,3.484E+01,-8.151E+01,2.000E-02
1.30E+01,1.148E+01,3.478E+01,-8.207E+01,2.000E-02
1.40E+01,1.161E+01,3.473E+01,-8.282E+01,2.000E-02
1.50E+01,1.175E+01,3.463E+01,-8.307E+01,2.000E-02
1.60E+01,1.189E+01,3.448E+01,-8.402E+01,2.000E-02
1.70E+01,1.202E+01,3.442E+01,-8.456E+01,2.000E-02
1.80E+01,1.216E+01,3.431E+01,-8.570E+01,2.000E-02
1.90E+01,1.230E+01,3.422E+01,-8.628E+01,2.000E-02
2.00E+01,1.245E+01,3.419E+01,-8.671E+01,2.000E-02
2.10E+01,1.259E+01,3.400E+01,-8.743E+01,2.000E-02
2.20E+01,1.274E+01,3.394E+01,-8.797E+01,2.000E-02
2.30E+01,1.288E+01,3.381E+01,-8.900E+01,2.000E-02
2.40E+01,1.303E+01,3.373E+01,-8.933E+01,2.000E-02
2.50E+01,1.318E+01,3.361E+01,-9.034E+01,2.000E-02
2.60E+01,1.334E+01,3.349E+01,-9.070E+01,2.000E-02
2.70E+01,1.349E+01,3.339E+01,-9.167E+01,2.000E-02
2.80E+01,1.365E+01,3.330E+01,-9.216E+01,2.000E-02
2.90E+01,1.380E+01,3.314E+01,-9.299E+01,2.000E-02
3.00E+01,1.396E+01,3.301E+01,-9.383E+01,2.000E-02
3.10E+01,1.413E+01,3.294E+01,-9.417E+01,2.000E-02
3.20E+01,1.429E+01,3.280E+01,-9.499E+01,2.000E-02
3.30E+01,1.445E+01,3.267E+01,-9.565E+01,2.000E-02
3.40E+01,1.462E+01,3.258E+01,-9.618E+01,2.000E-02
3.50E+01,1.479E+01,3.245E+01,-9.747E+01,2.000E-02
3.60E+01,1.496E+01,3.232E+01,-9.802E+01,2.000E-02
3.70E+01,1.514E+01,3.226E+01,-9.834E+01,2.000E-02
3.80E+01,1.531E+01,3.212E+01,-9.902E+01,2.000E-02
3.90E+01,1.549E+01,3.200E+01,-9.994E+01,2.000E-02
4.00E+01,1.567E+01,3.182E+01,-1.007E+02,2.000E-02
4.10E+01,1.585E+01,3.177E+01,-1.011E+02,2.000E-02
4.20E+01,1.603E+01,3.160E+01,-1.018E+02,2.000E-02
4.30E+01,1.622E+01,3.147E+01,-1.025E+02,2.000E-02
4.40E+01,1.641E+01,3.134E+01,-1.031E+02,2.000E-02
4.50E+01,1.660E+01,3.121E+01,-1.039E+02,2.000E-02
4.60E+01,1.679E+01,3.107E+01,-1.048E+02,2.000E-02
4.70E+01,1.698E+01,3.090E+01,-1.053E+02,2.000E-02
4.80E+01,1.718E+01,3.077E+01,-1.059E+02,2.000E-02
4.90E+01,1.738E+01,3.064E+01,-1.067E+02,2.000E-02
5.00E+01,1.758E+01,3.048E+01,-1.076E+02,2.000E-02
5.10E+01,1.778E+01,3.035E+01,-1.081E+02,2.000E-02
5.20E+01,1.799E+01,3.023E+01,-1.087E+02,2.000E-02
5.30E+01,1.820E+01,3.007E+01,-1.092E+02,2.000E-02
5.40E+01,1.841E+01,2.992E+01,-1.099E+02,2.000E-02
