in s,C1 in V
-6.00000E-04,2.988827E-01
-5.99984E-04,2.981724E-01
-5.99968E-04,2.982333E-01
-5.99952E-04,2.969344E-01
-5.99936E-04,2.992074E-01
-5.99920E-04,2.971983E-01
-5.99904E-04,2.994103E-01
-5.99888E-04,2.981115E-01
-5.99872E-04,2.987609E-01
-5.99856E-04,2.973403E-01
-5.99840E-04,2.984971E-01
-5.99824E-04,2.992074E-01
-5.99808E-04,2.976650E-01
-5.99792E-04,2.986391E-01
-5.99776E-04,2.981724E-01
-5.99760E-04,2.978477E-01
-5.99744E-04,2.974012E-01
-5.99728E-04,2.994103E-01
-5.99712E-04,2.967518E-01
-5.99696E-04,2.977259E-01
-5.99680E-04,2.971374E-01
-5.99664E-04,2.986391E-01
-5.99648E-04,2.975230E-01
-5.99632E-04,2.975230E-01
-5.99616E-04,2.976650E-01
-5.99600E-04,2.969344E-01
-5.99584E-04,2.981115E-01
-5.99568E-04,2.972591E-01
-5.99552E-04,2.979086E-01
-5.99536E-04,2.977259E-01
-5.99520E-04,2.977868E-01
-5.99504E-04,2.975838E-01
-5.99488E-04,2.979897E-01
-5.99472E-04,2.966097E-01
-5.99456E-04,2.971374E-01
-5.99440E-04,2.979897E-01
-5.99424E-04,2.966097E-01
-5.99408E-04,2.971983E-01
-5.99392E-04,2.977259E-01
-5.99376E-04,2.982333E-01
-5.99360E-04,2.966909E-01
-5.99344E-04,2.969344E-01
-5.99328E-04,2.957777E-01
-5.99312E-04,2.975838E-01
-5.99296E-04,2.966097E-01
-5.99280E-04,2.974012E-01
-5.99264E-04,2.964880E-01
-5.99248E-04,2.958994E-01
-5.99232E-04,2.991465E-01
-5.99216E-04,2.970765E-01
-5.99200E-04,2.974012E-01
-5.99184E-04,2.960415E-01
-5.99168E-04,2.981724E-01
-5.99152E-04,2.984362E-01
-5.99136E-04,2.967518E-01
-5.99120E-04,2.969344E-01
-5.99104E-04,2.963662E-01
-5.99088E-04,2.971374E-01
-5.99072E-04,2.975838E-01
-5.99056E-04,2.970156E-01
-5.99040E-04,2.962850E-01
-5.99024E-04,2.970765E-01
-5.99008E-04,2.955747E-01
-5.98992E-04,2.978477E-01
-5.98976E-04,2.979897E-01
-5.98960E-04,2.971374E-01
-5.98944E-04,2.970156E-01
-5.98928E-04,2.951283E-01
-5.98912E-04,2.968127E-01
-5.98896E-04,2.974012E-01
-5.98880E-04,2.972591E-01
-5.98864E-04,2.958994E-01
-5.98848E-04,2.958385E-01
-5.98832E-04,2.955747E-01
-5.98816E-04,2.961633E-01
-5.98800E-04,2.975230E-01
-5.98784E-04,2.964880E-01
-5.98768E-04,2.951891E-01
-5.98752E-04,2.981724E-01
-5.98736E-04,2.953718E-01
-5.98720E-04,2.959603E-01
-5.98704E-04,2.959603E-01
-5.98688E-04,2.962241E-01
-5.98672E-04,2.951891E-01
-5.98656E-04,2.955138E-01
-5.98640E-04,2.959603E-01
-5.98624E-04,2.955138E-01
-5.98608E-04,2.951283E-01
-5.98592E-04,2.954530E-01
-5.98576E-04,2.976650E-01
-5.98560E-04,2.936874E-01
-5.98544E-04,2.950471E-01
-5.98528E-04,2.942759E-01
-5.98512E-04,2.949253E-01
-5.98496E-04,2.951283E-01
-5.98480E-04,2.959603E-01
-5.98464E-04,2.944788E-01
-5.98448E-04,2.963662E-01
-5.98432E-04,2.942150E-01
-5.98416E-04,2.952500E-01
-5.98400E-04,2.952500E-01
-5.98384E-04,2.958994E-01
-5.98368E-04,2.952500E-01
-5.98352E-04,2.940121E-01
-5.98336E-04,2.948035E-01
-5.98320E-04,2.935047E-01
-5.98304E-04,2.949862E-01
-5.98288E-04,2.944788E-01
-5.98272E-04,2.942759E-01
-5.98256E-04,2.938903E-01
-5.98240E-04,2.953109E-01
-5.98224E-04,2.945397E-01
-5.98208E-04,2.938294E-01
-5.98192E-04,2.954530E-01
-5.98176E-04,2.943368E-01
-5.98160E-04,2.953109E-01
-5.98144E-04,2.938903E-01
-5.98128E-04,2.940730E-01
-5.98112E-04,2.939512E-01
-5.98096E-04,2.955747E-01
-5.98080E-04,2.949862E-01
-5.98064E-04,2.940121E-01
-5.98048E-04,2.929162E-01
-5.98032E-04,2.940730E-01
-5.98016E-04,2.945397E-01
-5.98000E-04,2.948644E-01
-5.97984E-04,2.946615E-01
-5.97968E-04,2.951283E-01
