in Hz,Spectrum in dBm
0.0000000E+00,-4.43754E+00
4.7683716E+02,-1.41754E+00
9.5367432E+02,-1.41754E+00
1.4305115E+03,-1.41754E+00
1.9073486E+03,-1.43754E+00
2.3841858E+03,-1.43754E+00
2.8610229E+03,-1.45754E+00
3.3378601E+03,-1.47754E+00
3.8146973E+03,-1.47754E+00
4.2915344E+03,-1.47754E+00
4.7683716E+03,-1.45754E+00
5.2452087E+03,-1.41754E+00
5.7220459E+03,-1.35754E+00
6.1988831E+03,-1.29754E+00
6.6757202E+03,-1.23754E+00
7.1525574E+03,-1.19754E+00
7.6293945E+03,-1.21754E+00
8.1062317E+03,-1.29754E+00
8.5830688E+03,-1.43754E+00
9.0599060E+03,-1.69754E+00
9.5367432E+03,-2.05754E+00
1.0013580E+04,-2.51754E+00
1.0490417E+04,-3.09754E+00
1.0967255E+04,-3.81754E+00
1.1444092E+04,-4.67754E+00
1.1920929E+04,-5.65754E+00
1.2397766E+04,-6.79754E+00
1.2874603E+04,-8.09754E+00
1.3351440E+04,-9.57754E+00
1.3828278E+04,-1.12175E+01
1.4305115E+04,-1.30575E+01
1.4781952E+04,-1.50975E+01
1.5258789E+04,-1.73775E+01
1.5735626E+04,-1.99375E+01
1.6212463E+04,-2.27775E+01
1.6689301E+04,-2.59975E+01
1.7166138E+04,-2.95775E+01
1.7642975E+04,-3.33975E+01
1.8119812E+04,-3.67375E+01
1.8596649E+04,-3.81575E+01
1.9073486E+04,-3.78375E+01
1.9550323E+04,-3.71175E+01
2.0027161E+04,-3.65175E+01
2.0503998E+04,-3.60975E+01
2.0980835E+04,-3.57375E+01
2.1457672E+04,-3.54575E+01
2.1934509E+04,-3.51775E+01
2.2411346E+04,-3.48975E+01
2.2888184E+04,-3.46575E+01
2.3365021E+04,-3.44375E+01
2.3841858E+04,-3.42375E+01
2.4318695E+04,-3.40575E+01
2.4795532E+04,-3.39375E+01
2.5272369E+04,-3.38375E+01
2.5749207E+04,-3.37775E+01
2.6226044E+04,-3.37375E+01
2.6702881E+04,-3.37375E+01
2.7179718E+04,-3.37775E+01
2.7656555E+04,-3.38375E+01
2.8133392E+04,-3.39375E+01
2.8610229E+04,-3.40575E+01
2.9087067E+04,-3.42375E+01
2.9563904E+04,-3.44175E+01
3.0040741E+04,-3.46375E+01
3.0517578E+04,-3.48775E+01
3.0994415E+04,-3.51575E+01
3.1471252E+04,-3.54375E+01
3.1948090E+04,-3.57575E+01
3.2424927E+04,-3.60975E+01
3.2901764E+04,-3.64375E+01
3.3378601E+04,-3.68175E+01
3.3855438E+04,-3.72375E+01
3.4332275E+04,-3.76975E+01
3.4809113E+04,-3.81775E+01
3.5285950E+04,-3.87375E+01
3.5762787E+04,-3.93375E+01
3.6239624E+04,-4.00175E+01
3.6716461E+04,-4.07775E+01
3.7193298E+04,-4.16175E+01
3.7670135E+04,-4.25575E+01
3.8146973E+04,-4.35975E+01
3.8623810E+04,-4.47175E+01
3.9100647E+04,-4.59575E+01
3.9577484E+04,-4.73175E+01
4.0054321E+04,-4.87775E+01
4.0531158E+04,-5.03975E+01
4.1007996E+04,-5.21375E+01
4.1484833E+04,-5.40175E+01
4.1961670E+04,-5.60175E+01
4.2438507E+04,-5.80175E+01
4.2915344E+04,-5.97375E+01
4.3392181E+04,-6.05175E+01
4.3869019E+04,-6.00775E+01
4.4345856E+04,-5.87375E+01
4.4822693E+04,-5.71575E+01
4.5299530E+04,-5.55975E+01
4.5776367E+04,-5.41375E+01
4.6253204E+04,-5.28175E+01
4.6730042E+04,-5.15975E+01
4.7206879E+04,-5.04975E+01
4.7683716E+04,-4.94775E+01
4.8160553E+04,-4.85575E+01
4.8637390E+04,-4.77175E+01
4.9114227E+04,-4.69375E+01
4.9591064E+04,-4.62375E+01
5.0067902E+04,-4.55975E+01
5.0544739E+04,-4.50375E+01
5.1021576E+04,-4.45375E+01
5.1498413E+04,-4.40975E+01
5.1975250E+04,-4.37175E+01
5.2452087E+04,-4.34175E+01
5.2928925E+04,-4.31775E+01
5.3405762E+04,-4.29975E+01
5.3882599E+04,-4.28775E+01
5.4359436E+04,-4.27975E+01
5.4836273E+04,-4.27975E+01
5.5313110E+04,-4.28175E+01
5.5789948E+04,-4.28775E+01
5.6266785E+04,-4.29775E+01
5.6743622E+04,-4.30975E+01
5.7220459E+04,-4.32375E+01
5.7697296E+04,-4.33975E+01
5.8174133E+04,-4.35575E+01
5.8650970E+04,-4.37375E+01
5.9127808E+04,-4.39375E+01
5.9604645E+04,-4.41575E+01
6.0081482E+04,-4.43975E+01
6.0558319E+04,-4.46975E+01
6.1035156E+04,-4.50375E+01
6.1511993E+04,-4.54575E+01
6.1988831E+04,-4.59375E+01
6.2465668E+04,-4.65175E+01
6.2942505E+04,-4.72175E+01
6.3419342E+04,-4.80575E+01
6.3896179E+04,-4.90375E+01
6.4373016E+04,-5.02575E+01
6.4849854E+04,-5.17775E+01
6.5326691E+04,-5.36975E+01
6.5803528E+04,-5.62775E+01
6.6280365E+04,-6.01175E+01
6.6757202E+04,-6.72575E+01
6.7234039E+04,-7.55375E+01
6.7710876E+04,-6.30775E+01
6.8187714E+04,-5.80975E+01
6.8664551E+04,-5.50575E+01
6.9141388E+04,-5.28975E+01
6.9618225E+04,-5.12775E+01
7.0095062E+04,-5.00375E+01
7.0571899E+04,-4.90575E+01
7.1048737E+04,-4.82975E+01
7.1525574E+04,-4.76975E+01
7.2002411E+04,-4.72575E+01
7.2479248E+04,-4.69175E+01
7.2956085E+04,-4.66575E+01
7.3432922E+04,-4.64775E+01
7.3909760E+04,-4.63375E+01
7.4386597E+04,-4.62175E+01
7.4863434E+04,-4.60975E+01
7.5340271E+04,-4.59375E+01
