in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,4.007E+01,1.798E+02,1.000E-01
2.0E+00,1.122E+02,4.007E+01,1.798E+02,1.000E-01
3.0E+00,1.259E+02,4.006E+01,1.798E+02,1.000E-01
4.0E+00,1.413E+02,4.007E+01,1.797E+02,1.000E-01
5.0E+00,1.585E+02,4.007E+01,1.797E+02,1.000E-01
6.0E+00,1.778E+02,4.007E+01,1.797E+02,1.000E-01
7.0E+00,1.995E+02,4.007E+01,1.797E+02,1.000E-01
8.0E+00,2.239E+02,4.007E+01,1.797E+02,1.000E-01
9.0E+00,2.512E+02,4.005E+01,1.795E+02,1.000E-01
1.0E+01,2.818E+02,4.006E+01,1.795E+02,1.000E-01
1.1E+01,3.162E+02,4.007E+01,1.793E+02,1.000E-01
1.2E+01,3.548E+02,4.006E+01,1.793E+02,1.000E-01
1.3E+01,3.981E+02,4.007E+01,1.793E+02,1.000E-01
1.4E+01,4.467E+02,4.008E+01,1.791E+02,1.000E-01
1.5E+01,5.012E+02,4.009E+01,1.789E+02,1.000E-01
1.6E+01,5.623E+02,4.008E+01,1.788E+02,1.000E-01
1.7E+01,6.310E+02,4.006E+01,1.787E+02,1.000E-01
1.8E+01,7.079E+02,4.006E+01,1.784E+02,1.000E-01
1.9E+01,7.943E+02,4.005E+01,1.785E+02,1.000E-01
2.0E+01,8.913E+02,4.007E+01,1.782E+02,1.000E-01
2.1E+01,1.000E+03,4.006E+01,1.780E+02,1.000E-01
2.2E+01,1.122E+03,4.006E+01,1.776E+02,1.000E-01
2.3E+01,1.259E+03,4.006E+01,1.773E+02,1.000E-01
2.4E+01,1.413E+03,4.006E+01,1.772E+02,1.000E-01
2.5E+01,1.585E+03,4.006E+01,1.768E+02,1.000E-01
2.6E+01,1.778E+03,4.005E+01,1.763E+02,1.000E-01
2.7E+01,1.995E+03,4.005E+01,1.760E+02,1.000E-01
2.8E+01,2.239E+03,4.004E+01,1.756E+02,1.000E-01
2.9E+01,2.512E+03,4.003E+01,1.749E+02,1.000E-01
3.0E+01,2.818E+03,4.002E+01,1.742E+02,1.000E-01
3.1E+01,3.162E+03,4.001E+01,1.737E+02,1.000E-01
3.2E+01,3.548E+03,3.999E+01,1.729E+02,1.000E-01
3.3E+01,3.981E+03,3.998E+01,1.721E+02,1.000E-01
3.4E+01,4.467E+03,3.995E+01,1.712E+02,1.000E-01
3.5E+01,5.012E+03,3.992E+01,1.701E+02,1.000E-01
3.6E+01,5.623E+03,3.989E+01,1.690E+02,1.000E-01
3.7E+01,6.310E+03,3.983E+01,1.678E+02,1.000E-01
3.8E+01,7.079E+03,3.982E+01,1.663E+02,1.000E-01
3.9E+01,7.943E+03,3.973E+01,1.646E+02,1.000E-01
4.0E+01,8.913E+03,3.966E+01,1.629E+02,1.000E-01
4.1E+01,1.000E+04,3.955E+01,1.610E+02,1.000E-01
4.2E+01,1.122E+04,3.944E+01,1.589E+02,1.000E-01
4.3E+01,1.259E+04,3.930E+01,1.567E+02,1.000E-01
4.4E+01,1.413E+04,3.912E+01,1.540E+02,1.000E-01
4.5E+01,1.585E+04,3.890E+01,1.515E+02,1.000E-01
4.6E+01,1.778E+04,3.866E+01,1.487E+02,1.000E-01
4.7E+01,1.995E+04,3.836E+01,1.457E+02,1.000E-01
4.8E+01,2.239E+04,3.803E+01,1.425E+02,1.000E-01
4.9E+01,2.512E+04,3.763E+01,1.393E+02,1.000E-01
5.0E+01,2.818E+04,3.718E+01,1.360E+02,1.000E-01
5.1E+01,3.162E+04,3.669E+01,1.327E+02,1.000E-01
5.2E+01,3.548E+04,3.612E+01,1.293E+02,1.000E-01
5.3E+01,3.981E+04,3.551E+01,1.261E+02,1.000E-01
5.4E+01,4.467E+04,3.482E+01,1.230E+02,1.000E-01
5.5E+01,5.012E+04,3.409E+01,1.200E+02,1.000E-01
5.6E+01,5.623E+04,3.332E+01,1.171E+02,1.000E-01
5.7E+01,6.310E+04,3.252E+01,1.144E+02,1.000E-01
5.8E+01,7.079E+04,3.169E+01,1.118E+02,1.000E-01
5.9E+01,7.943E+04,3.081E+01,1.096E+02,1.000E-01
6.0E+01,8.913E+04,2.992E+01,1.073E+02,1.000E-01
6.1E+01,1.000E+05,2.901E+01,1.054E+02,1.000E-01
6.2E+01,1.122E+05,2.808E+01,1.035E+02,1.000E-01
6.3E+01,1.259E+05,2.714E+01,1.019E+02,1.000E-01
6.4E+01,1.413E+05,2.618E+01,1.004E+02,1.000E-01
6.5E+01,1.585E+05,2.522E+01,9.898E+01,1.000E-01
6.6E+01,1.778E+05,2.425E+01,9.771E+01,1.000E-01
6.7E+01,1.995E+05,2.328E+01,9.645E+01,1.000E-01
6.8E+01,2.239E+05,2.230E+01,9.531E+01,1.000E-01
6.9E+01,2.512E+05,2.131E+01,9.422E+01,1.000E-01
7.0E+01,2.818E+05,2.031E+01,9.321E+01,1.000E-01
7.1E+01,3.162E+05,1.929E+01,9.228E+01,1.000E-01
7.2E+01,3.548E+05,1.831E+01,9.141E+01,1.000E-01
7.3E+01,3.981E+05,1.732E+01,9.049E+01,1.000E-01
7.4E+01,4.467E+05,1.632E+01,8.957E+01,1.000E-01
7.5E+01,5.012E+05,1.534E+01,8.864E+01,1.000E-01
7.6E+01,5.623E+05,1.435E+01,8.769E+01,1.000E-01
7.7E+01,6.310E+05,1.336E+01,8.671E+01,1.000E-01
7.8E+01,7.079E+05,1.236E+01,8.572E+01,1.000E-01
7.9E+01,7.943E+05,1.138E+01,8.472E+01,1.000E-01
8.0E+01,8.913E+05,1.039E+01,8.356E+01,1.000E-01
8.1E+01,1.000E+06,9.394E+00,8.237E+01,1.000E-01
