in s,C2 in V
-2.9999966E+00,-7.8079224E-01
-2.9999508E+00,-7.8475952E-01
-2.9999050E+00,-7.8445435E-01
-2.9998592E+00,-7.8781128E-01
-2.9998135E+00,-7.8933716E-01
-2.9997677E+00,-7.8842163E-01
-2.9997219E+00,-7.8689575E-01
-2.9996761E+00,-7.8750610E-01
-2.9996303E+00,-7.8720093E-01
-2.9995845E+00,-7.8567505E-01
-2.9995388E+00,-7.8567505E-01
-2.9994930E+00,-7.8659058E-01
-2.9994472E+00,-7.8964233E-01
-2.9994014E+00,-7.8811646E-01
-2.9993556E+00,-7.8720093E-01
-2.9993098E+00,-7.8842163E-01
-2.9992641E+00,-7.8933716E-01
-2.9992183E+00,-7.8750610E-01
-2.9991725E+00,-7.8506470E-01
-2.9991267E+00,-7.8140259E-01
-2.9990809E+00,-7.8475952E-01
-2.9990351E+00,-7.8445435E-01
-2.9989894E+00,-7.8170776E-01
-2.9989436E+00,-7.7865601E-01
-2.9988978E+00,-7.8231812E-01
-2.9988520E+00,-7.8170776E-01
-2.9988062E+00,-7.8231812E-01
-2.9987604E+00,-7.8140259E-01
-2.9987146E+00,-7.7590942E-01
-2.9986689E+00,-7.7804565E-01
-2.9986231E+00,-7.7865601E-01
-2.9985773E+00,-7.7987671E-01
-2.9985315E+00,-7.7804565E-01
-2.9984857E+00,-7.8323364E-01
-2.9984399E+00,-7.8140259E-01
-2.9983942E+00,-7.7896118E-01
-2.9983484E+00,-7.8140259E-01
-2.9983026E+00,-7.8231812E-01
-2.9982568E+00,-7.8231812E-01
-2.9982110E+00,-7.7774048E-01
-2.9981652E+00,-7.8323364E-01
-2.9981195E+00,-7.7682495E-01
-2.9980737E+00,-7.8323364E-01
-2.9980279E+00,-7.8872681E-01
-2.9979821E+00,-7.8445435E-01
-2.9979363E+00,-7.8842163E-01
-2.9978905E+00,-7.8903198E-01
-2.9978448E+00,-7.8506470E-01
-2.9977990E+00,-7.8567505E-01
-2.9977532E+00,-7.9025269E-01
-2.9977074E+00,-7.8964233E-01
-2.9976616E+00,-7.8659058E-01
-2.9976158E+00,-7.8750610E-01
-2.9975700E+00,-7.8384399E-01
-2.9975243E+00,-7.8323364E-01
-2.9974785E+00,-7.8567505E-01
-2.9974327E+00,-7.8384399E-01
-2.9973869E+00,-7.8903198E-01
-2.9973411E+00,-7.8536987E-01
-2.9972953E+00,-7.8201294E-01
-2.9972496E+00,-7.8353882E-01
-2.9972038E+00,-7.8353882E-01
-2.9971580E+00,-7.7926636E-01
-2.9971122E+00,-7.7835083E-01
-2.9970664E+00,-7.7621460E-01
-2.9970206E+00,-7.7865601E-01
-2.9969749E+00,-7.7896118E-01
-2.9969291E+00,-7.7957153E-01
-2.9968833E+00,-7.7865601E-01
-2.9968375E+00,-7.7621460E-01
-2.9967917E+00,-7.8048706E-01
-2.9967459E+00,-7.8292847E-01
-2.9967002E+00,-7.7774048E-01
-2.9966544E+00,-7.7957153E-01
-2.9966086E+00,-7.8048706E-01
-2.9965628E+00,-7.8048706E-01
-2.9965170E+00,-7.7926636E-01
-2.9964712E+00,-7.7804565E-01
-2.9964254E+00,-7.7590942E-01
-2.9963797E+00,-7.8018188E-01
-2.9963339E+00,-7.8140259E-01
-2.9962881E+00,-7.7865601E-01
-2.9962423E+00,-7.7590942E-01
-2.9961965E+00,-7.7713013E-01
-2.9961507E+00,-7.8201294E-01
-2.9961050E+00,-7.8231812E-01
-2.9960592E+00,-7.8170776E-01
-2.9960134E+00,-7.8140259E-01
-2.9959676E+00,-7.7713013E-01
-2.9959218E+00,-7.7499390E-01
-2.9958760E+00,-7.7774048E-01
-2.9958303E+00,-7.7743530E-01
-2.9957845E+00,-7.7499390E-01
-2.9957387E+00,-7.7224731E-01
-2.9956929E+00,-7.6919556E-01
-2.9956471E+00,-7.7163696E-01
-2.9956013E+00,-7.7438354E-01
-2.9955556E+00,-7.7377319E-01
-2.9955098E+00,-7.7377319E-01
